,,,REPUBLIC OF THE PHILIPPINES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,DEPARTMENT OF EDUCATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"SCHOOLS CONSOLIDATED REPORT ON THE CONDUCT OF QUARTERY NATIONWIDE SIMULTANEOUS EARTHQUAKE DRILL
(DepEd Order No. 53, s. 2022)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,SCHOOL ID,SCHOOL NAME,PRE-DRILL,,,,,,,,,,,,,,ACTUAL DRILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POST-DRILL,,Common issues and concerns encountered during the actual conduct of drill,"LINK FOR DOCUMENTATION
(documentation)

Google Drive Link"
,,,With available Go Bags?,"With updated preparedness, evacuation and response plans?",With updated contingency plan?,With available early warning system?,With available emergency and rescue equipment?,With available First Aid Kits?,"With available communication equipment (internet, cellphone, two-way radio, etc.)?","With sufficient space in school/classrooms to conduct the ""Duck, Cover, and Hold""",Conducted coordination/preparatory meeting with LDRRMO/BDRRMCs?,Conducted an orientation to learners and school personnel on earthquake preparedness measures and the conduct of earthquake and fire drills?,Conducted an orientation to parents on earthquake preparedness measures and the conduct of earthquake and fire drills?,Learners have accomplished the Family Earthquake Preparedness Homework?,"Conducted alternative activities and/or Information, Education and Communication (IEC) campaigns on earthquake preparedness and fire prevention?",Additional Remarks,"Conducted ""DUCK, COVER, and HOLD""?",Conducted evacuation drill?,Additional Remarks,"No. of Personnel
(Total Population)",,,"No. of Personnel Participated
(Partipation Head Count)",,,No. of Learners (Total Population),,,,,,,,,,,,,No. of Learners Participated (Participation Head Count),,,,,,,,,,,,,,Conduct of post-activity exercises,Additional Remarks,,
,,,,,,,,,,,,,,,,,,,,Total No. of Teaching and Non-Teaching Personnel,,,Total No. of Teaching and Non-Teaching Personnel,,,"Total Number of Learners
 (Excluding IP, Muslim and Learners with Disability)",,,Total No. of IP Learners,,,Total No. of Muslim Learners,,,Total Number of Learners with Disability,,, Total No. of Learners (Total Population),"Total Number of Learners
 (Excluding IP, Muslim and Learners with Disability)",,,Total No. of IP Learners,,,Total No. of Muslim Learners,,,Total Number of Learners with Disability,,, Total No. of Learners Participated,Additional Remarks,,,,
,,,Yes/No,Yes/No,Yes/No,Yes/No,Yes/No,Yes/No,Yes/No,Yes/No,Yes/No,Yes/No,Yes/No,Yes/No,Yes/No,,Yes/No,Yes/No,,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,,,Yes/No,,,
1,117654,Culasi Elementary School,Yes,Yes,yes,Yes,Yes,Yes,yes,Yes,Yes ,Yes,Yes,No,Yes,None,Yes,Yes,None,6,28,34,5,28,33,438,427,865,0,0,0,0,0,0,0,0,0,865,438,427,865,0,0,0,0,0,0,0,0,0,865,none,Yes,none,None,
2,117655,Don Conrado Barrios Elementary School,Yes,Yes,yes,Yes,Yes,Yes,yes,Yes,Yes,Yes,Yes,No,Yes,,Yes,Yes,,4,24,28,4,24,28,291,282,573,0,0,0,0,0,0,0,0,0,573,285,279,564,0,0,0,0,0,0,0,0,0,564,,yes ,,Hot Weather,
